MemeLabel	BaseImageURL	Height	Width	StandardTextBox
Brace Yourselves X is Coming	https://i.imgflip.com/1bhm.jpg	477	622	2
Maury Lie Detector	https://i.imgflip.com/9iz9.jpg	378	381	2
Be Like Bill	https://i.imgflip.com/xh3me.jpg	907	913	4
Sleeping Shaq	https://i.imgflip.com/1nck6k.jpg	631	640	2
Scared Cat	https://i.imgflip.com/2hgfw.jpg	464	620	2
Squidward	https://i.imgflip.com/64ku.jpg	750	500	2
Success Kid	https://i.imgflip.com/1bhk.jpg	500	500	2
Imagination Spongebob	https://i.imgflip.com/3i7p.jpg	366	500	2
Creepy Condescending Wonka	https://i.imgflip.com/1bim.jpg	545	550	2
See Nobody Cares	https://i.imgflip.com/3vzej.jpg	676	620	2
Uncle Sam	https://i.imgflip.com/1x6f.jpg	833	620	2
Dr Evil Laser	https://i.imgflip.com/odluv.jpg	405	500	2
Grumpy Cat	https://i.imgflip.com/8p0a.jpg	617	500	2
Peter Parker Cry	https://i.imgflip.com/15hg.jpg	992	400	4
Captain Picard Facepalm	https://i.imgflip.com/wczz.jpg	324	500	2
Face You Make Robert Downey Jr	https://i.imgflip.com/5mcpl.jpg	523	460	2
Put It Somewhere Else Patrick	https://i.imgflip.com/1bil.jpg	604	343	2
Surprised Koala	https://i.imgflip.com/ljk.jpg	667	500	2
Am I The Only One Around Here	https://i.imgflip.com/5kdc.jpg	348	500	2
Too Damn High	https://i.imgflip.com/1bik.jpg	316	420	2
Mugatu So Hot Right Now	https://i.imgflip.com/cv1y0.jpg	497	620	2
Matrix Morpheus	https://i.imgflip.com/25w3.jpg	303	500	2
Marvel Civil War 1	https://i.imgflip.com/govs4.jpg	734	423	2
Philosoraptor	https://i.imgflip.com/1bgs.jpg	500	500	2
Me And The Boys	https://i.imgflip.com/320xfw.jpg	476	720	2
I Should Buy A Boat Cat	https://i.imgflip.com/tau4.jpg	368	500	2
Sparta Leonidas	https://i.imgflip.com/46rh.jpg	264	500	2
